HGNC ID	Approved symbol	Approved name	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers
HGNC:24356	CLEC1B	C-type lectin domain family 1 member B	Approved		CLEC2, CLEC-2	12p13.31-p13.2	AF124841
HGNC:24191	CLEC2A	C-type lectin domain family 2 member A	Approved		UNQ5792, INPE5792, KACL, PILAR	12p13.31	AY359126
HGNC:2053	CLEC2B	C-type lectin domain family 2 member B	Approved	CLECSF2	AICL, HP10085	12p13.31	X96719
HGNC:14351	CLEC2D	C-type lectin domain family 2 member D	Approved		LLT1, CLAX, OCIL	12p13.31	AF133299
HGNC:21969	CLEC2L	C-type lectin domain family 2 member L	Approved		FLJ32986	7q34	AK057548
HGNC:2052	CLEC3A	C-type lectin domain family 3 member A	Approved	CLECSF1		16q23.1	AF077345
HGNC:11891	CLEC3B	C-type lectin domain family 3 member B	Approved	TNA	TN	3p21.31	
HGNC:13257	CLEC4A	C-type lectin domain family 4 member A	Approved	CLECSF6	DCIR, DDB27, CD367, hDCIR	12p13.31	AJ133532
HGNC:13258	CLEC4C	C-type lectin domain family 4 member C	Approved	CLECSF11, CLECSF7	HECL, DLEC, BDCA2, CD303	12p13.31	AF325460
HGNC:14554	CLEC4D	C-type lectin domain family 4 member D	Approved	CLECSF8	Mpcl, CD368, MCL, Dectin-3	12p13.31	AF411850
HGNC:14555	CLEC4E	C-type lectin domain family 4 member E	Approved	CLECSF9	MINCLE	12p13.31	AB024718
HGNC:25357	CLEC4F	C-type lectin domain family 4 member F	Approved	CLECSF13	FLJ39110, KCLR	2p13.3	AK096429
HGNC:24591	CLEC4G	C-type lectin domain family 4 member G	Approved		UNQ431, LSECTIN	19p13.2	AY358431
HGNC:13523	CLEC4M	C-type lectin domain family 4 member M	Approved	CD209L, CD299	HP10347, DC-SIGNR, LSIGN, DCSIGNR, DC-SIGN2	19p13.2	AB015629
HGNC:2054	CLEC5A	C-type lectin domain containing 5A	Approved	CLECSF5	MDL-1	7q34	
HGNC:14556	CLEC6A	C-type lectin domain containing 6A	Approved	CLECSF10	dectin-2, hDECTIN-2	12p13.31	AY321309
HGNC:14558	CLEC7A	C-type lectin domain containing 7A	Approved	CLECSF12	DECTIN-1, hDectin-1, CD369, SCARE2	12p13.2	AY009090
HGNC:26705	CLEC9A	C-type lectin domain containing 9A	Approved		UNQ9341, HEEE9341, CD370, DNGR-1	12p13.2	
HGNC:16916	CLEC10A	C-type lectin domain containing 10A	Approved	CLECSF13, CLECSF14	HML2, HML, CD301	17p13.1	D50532
HGNC:10576	CLEC11A	C-type lectin domain containing 11A	Approved	SCGF	P47, LSLCL, CLECSF3	19q13.33	AF087658
HGNC:31713	CLEC12A	C-type lectin domain family 12 member A	Approved		CLL-1, MICL, CD371, DCAL-2	12p13.31	AY498550
HGNC:31966	CLEC12B	C-type lectin domain family 12 member B	Approved			12p13.2	AK128243
HGNC:19832	CLEC14A	C-type lectin domain containing 14A	Approved	C14orf27		14q21.1	
HGNC:29013	CLEC16A	C-type lectin domain containing 16A	Approved	KIAA0350	Gop-1	16p13.13	AB002348
HGNC:34520	CLEC17A	C-type lectin domain containing 17A	Approved		FLJ45910	19p13.12	AK127809
HGNC:30388	CLEC18A	C-type lectin domain family 18 member A	Approved	MRCL		16q22.1	AF428259
HGNC:33849	CLEC18B	C-type lectin domain family 18 member B	Approved	MRCL2		16q23.1	AY358373
HGNC:28538	CLEC18C	C-type lectin domain family 18 member C	Approved	MRCL3	MGC34761	16q22.1	AL833339
HGNC:34522	CLEC19A	C-type lectin domain containing 19A	Approved			16p12.3	
HGNC:34521	CLEC20A	C-type lectin domain containing 20A	Approved	NCRNA00083, LINC00083	FLJ44005, RP4-593C16.2	1q25.2	AK125993
HGNC:2060	CLGN	calmegin	Approved			4q31.1	D86322
HGNC:26453	CLHC1	clathrin heavy chain linker domain containing 1	Approved	C2orf63	FLJ31438	2p16.1	
HGNC:2062	CLIC1	chloride intracellular channel 1	Approved		NCC27, p64CLCP, G6, CLCNL1	6p21.33	U93205
HGNC:2063	CLIC2	chloride intracellular channel 2	Approved		XAP121, CLCNL2	Xq28	AJ000217
HGNC:2064	CLIC3	chloride intracellular channel 3	Approved			9q34.3	AF102166
HGNC:13518	CLIC4	chloride intracellular channel 4	Approved		DKFZP566G223, CLIC4L, P64H1, H1, huH1, p64H1	1p36.11	AF097330
HGNC:13517	CLIC5	chloride intracellular channel 5	Approved		DFNB102	6p21.1	AF216941
HGNC:2065	CLIC6	chloride intracellular channel 6	Approved	CLIC1L	CLIC5	21q22.12	AF426169
HGNC:23186	CLINT1	clathrin interactor 1	Approved		ENTH, KIAA0171, EPNR, CLINT	5q33.3	AF434813
HGNC:10461	CLIP1	CAP-Gly domain containing linker protein 1	Approved	RSN	CYLN1, CLIP170, CLIP, CLIP-170	12q24.31	
HGNC:2586	CLIP2	CAP-Gly domain containing linker protein 2	Approved	WBSCR4, CYLN2, WBSCR3	CLIP-115, KIAA0291, WSCR4, CLIP, WSCR3	7q11.23	AB006629
HGNC:24314	CLIP3	CAP-Gly domain containing linker protein 3	Approved		CLIPR-59, RSNL1	19q13.12	AJ427922
HGNC:26108	CLIP4	CAP-Gly domain containing linker protein family member 4	Approved	RSNL2	FLJ21069	2p23.2	AK024722
HGNC:2068	CLK1	CDC like kinase 1	Approved			2q33.1	L29219
HGNC:2069	CLK2	CDC like kinase 2	Approved			1q22	L29218
HGNC:2071	CLK3	CDC like kinase 3	Approved			15q24.1	L29220
HGNC:13659	CLK4	CDC like kinase 4	Approved			5q35.3	AF294429
HGNC:19972	CLMN	calmin	Approved		FLJ12383, KIAA1188, KIAA0500	14q32.13	AB033014
HGNC:24039	CLMP	CXADR like membrane protein	Approved		ASAM, FLJ22415, ACAM	11q24.1	BC009371
HGNC:2074	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin	Approved	BTS	JNCL, BTN1	16p12.1	U32680
HGNC:2076	CLN5	CLN5 intracellular trafficking protein	Approved			13q22.3	
HGNC:2077	CLN6	CLN6 transmembrane ER protein	Approved		FLJ20561, HsT18960, nclf	15q23	AK000568
HGNC:2079	CLN8	CLN8 transmembrane ER and ERGIC protein	Approved	EPMR, C8orf61	FLJ39417, TLCD6	8p23.3	AF123761
HGNC:17438	CLNK	cytokine dependent hematopoietic cell linker	Approved		MIST	4p16.1	AB032369
HGNC:2080	CLNS1A	chloride nucleotide-sensitive channel 1A	Approved	CLCI	ICln	11q14.1	U17899
HGNC:2082	CLOCK	clock circadian regulator	Approved		KIAA0334, KAT13D, bHLHe8	4q12	AF011568
HGNC:16999	CLP1	cleavage factor polyribonucleotide kinase subunit 1	Approved		HEAB, hClp1	11q12.1	BC000446
HGNC:30664	CLPB	ClpB family mitochondrial disaggregase	Approved		SKD3, FLJ13152, ANKCLP	11q13.4	BC006404
HGNC:2084	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	Approved			19p13.3	Z50853
HGNC:2085	CLPS	colipase	Approved			6p21.31	
HGNC:21251	CLPSL1	colipase like 1	Approved	C6orf127	dJ510O8.6	6p21.31	
HGNC:21250	CLPSL2	colipase like 2	Approved	C6orf126	dJ510O8.5, UNQ3045	6p21.31	
HGNC:2087	CLPTM1	CLPTM1 regulator of GABA type A receptor forward trafficking	Approved			19q13.32	AF037339
HGNC:24308	CLPTM1L	CLPTM1 like	Approved		FLJ14400, CRR9	5p15.33	AK027306
HGNC:2088	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit X	Approved			15q22.31	AJ006267
HGNC:12605	CLRN1	clarin 1	Approved	USH3, USH3A, RP61		3q25.1	AF388366
HGNC:33939	CLRN2	clarin 2	Approved		DFNB117	4p15.32	
HGNC:20795	CLRN3	clarin 3	Approved	TMEM12	MGC32871, USH3AL1	10q26.2	BC029478
HGNC:19715	CLSPN	claspin	Approved			1p34.3	AF297866
HGNC:17447	CLSTN1	calsyntenin 1	Approved		CSTN1, KIAA0911, CDHR12	1p36.22	AB020718
HGNC:17448	CLSTN2	calsyntenin 2	Approved		CSTN2, CS2, FLJ39113, CDHR13	3q23	AJ278018
HGNC:18371	CLSTN3	calsyntenin 3	Approved		CSTN3, KIAA0726, CDHR14	12p13.31	AB018269
HGNC:2090	CLTA	clathrin light chain A	Approved		Lca	9p13.3	
HGNC:2091	CLTB	clathrin light chain B	Approved		Lcb	5q35.2	M20470
HGNC:2092	CLTC	clathrin heavy chain	Approved	CLTCL2	Hc	17q23.1	X55878
HGNC:2093	CLTCL1	clathrin heavy chain like 1	Approved	CLTCL	CLTD, CLH22, CHC22	22q11.21	
HGNC:29437	CLTRN	collectrin, amino acid transport regulator	Approved	TMEM27	NX17	Xp22.2	AF229179
HGNC:2095	CLU	clusterin	Approved	CLI, APOJ	SGP-2, SP-40, TRPM-2, KUB1, CLU1, CLU2	8p21.1	M64722
HGNC:19009	CLUAP1	clusterin associated protein 1	Approved		FLJ13297, KIAA0643, FAP22, CFAP22, IFT38	16p13.3	BC017070
HGNC:29094	CLUH	clustered mitochondria homolog	Approved	KIAA0664	CLU1	17p13.3	AB014564
HGNC:2096	CLUL1	clusterin like 1	Approved			18p11.32	D63813
HGNC:23139	CLVS1	clavesin 1	Approved	RLBP1L1	MGC34646, CRALBPL, C6orf212L	8q12.2-q12.3	AY094971
HGNC:23046	CLVS2	clavesin 2	Approved	C6orf212, C6orf213, RLBP1L2	bA160A10.4	6q22.31	AK095527
HGNC:25678	CLXN	calaxin	Approved	EFCAB1	FLJ11767, ODAD5	8q11.21	
HGNC:18355	CLYBL	citramalyl-CoA lyase	Approved		CLB	13q32.3	AF428253
HGNC:2097	CMA1	chymase 1	Approved			14q12	
HGNC:18290	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase	Approved			12p12.1	AF271388
HGNC:25090	CMBL	carboxymethylenebutenolidase homolog	Approved		FLJ23617	5p15.2	
HGNC:28783	CMC1	C-X9-C motif containing 1	Approved	C3orf68	MGC61571	3p24.1	BC052644
HGNC:24447	CMC2	C-X9-C motif containing 2	Approved	C16orf61	DC13, MGC45036	16q23.2	BC032631
HGNC:35428	CMC4	C-X9-C motif containing 4	Approved	MTCP1, MTCP1NB	P8MTCP1, p8	Xq28	
HGNC:24319	CMIP	c-Maf inducing protein	Approved			16q23.2-q23.3	AB051481
HGNC:2121	CMKLR1	chemerin chemokine-like receptor 1	Approved		RVER1, ERV1, ChemR23	12q23.3	U79526
HGNC:4463	CMKLR2	chemerin chemokine-like receptor 2	Approved	GPR1		2q33.3	
HGNC:18170	CMPK1	cytidine/uridine monophosphate kinase 1	Approved	CMPK	UMP-CMPK	1p33	AF070416
HGNC:27015	CMPK2	cytidine/uridine monophosphate kinase 2	Approved		TYKi, UMP-CMPK2, NDK	2p25.2	
HGNC:28666	CMSS1	cms1 ribosomal small subunit homolog	Approved	C3orf26	MGC4308	3q12.1	
HGNC:19172	CMTM1	CKLF like MARVEL transmembrane domain containing 1	Approved	CKLFSF1	CKLFH1a, CKLFH	16q21	AF278577
HGNC:19173	CMTM2	CKLF like MARVEL transmembrane domain containing 2	Approved	CKLFSF2	MGC39436, FLJ25732	16q21	BC025354
HGNC:19174	CMTM3	CKLF like MARVEL transmembrane domain containing 3	Approved	CKLFSF3	FLJ31762, BNAS2	16q22.1	AK056324
HGNC:19175	CMTM4	CKLF like MARVEL transmembrane domain containing 4	Approved	CKLFSF4		16q22.1-q22.3	AF479814
HGNC:19176	CMTM5	CKLF like MARVEL transmembrane domain containing 5	Approved	CKLFSF5	FLJ37521	14q11.2	BC013109
HGNC:19177	CMTM6	CKLF like MARVEL transmembrane domain containing 6	Approved	CKLFSF6	FLJ20396	3p22.3	AK000403
HGNC:19178	CMTM7	CKLF like MARVEL transmembrane domain containing 7	Approved	CKLFSF7	FLJ30992	3p22.3	AF479263
HGNC:19179	CMTM8	CKLF like MARVEL transmembrane domain containing 8	Approved	CKLFSF8		3p22.3	AF474370
HGNC:21077	CMTR1	cap methyltransferase 1	Approved	KIAA0082, FTSJD2	MTr1, ISG95	6p21.2	BC031890
HGNC:25635	CMTR2	cap methyltransferase 2	Approved	FTSJD1	FLJ11171, AFT, MTr2	16q22.2	BC035005
HGNC:14305	CMYA5	cardiomyopathy associated 5	Approved	C5orf10	SPRYD2, DKFZp451G223, TRIM76	5q14.1	AW755254, AL831986
HGNC:26663	CNBD1	cyclic nucleotide binding domain containing 1	Approved		FLJ35802	8q21.3	AK093121
HGNC:16145	CNBD2	cyclic nucleotide binding domain containing 2	Approved	C20orf152, CNMPD1	dJ954P9.1	20q11.23	AL359828
HGNC:13164	CNBP	CCHC-type zinc finger nucleic acid binding protein	Approved	DM2, ZNF9	RNF163, ZCCHC22, CNBP1	3q21.3	U19765
HGNC:20675	CNDP1	carnosine dipeptidase 1	Approved		MGC10825, CN1, CPGL2, HsT2308	18q22.3	
HGNC:24437	CNDP2	carnosine dipeptidase 2	Approved	PEPA	FLJ10830, CN2, HsT2298, CPGL	18q22.3	AK001692
HGNC:26759	CNEP1R1	CTD nuclear envelope phosphatase 1 regulatory subunit 1	Approved	C16orf69, TMEM188	FLJ38101, NEP1-R1	16q12.1	AK095420
HGNC:30183	CNFN	cornifelin	Approved		PLAC8L2	19q13.2	AB049591
HGNC:2148	CNGA1	cyclic nucleotide gated channel subunit alpha 1	Approved	CNCG1, CNCG	RCNC1, RCNCa, CNG1, RP49	4p12	M84741
HGNC:2149	CNGA2	cyclic nucleotide gated channel subunit alpha 2	Approved	CNCA1, CNCA	CNG2, OCNC1, OCNCa, OCNCALPHA, OCNCalpha, FLJ46312	Xq28	S76067
HGNC:2150	CNGA3	cyclic nucleotide gated channel subunit alpha 3	Approved	CNCG3, ACHM2	CCNC1, CCNCa, CNG3	2q11.2	S76069
HGNC:2152	CNGA4	cyclic nucleotide gated channel subunit alpha 4	Approved	CNCA2, CNGB2	OCNC2, OCNCb, CNG5	11p15.4	AK122736
HGNC:2151	CNGB1	cyclic nucleotide gated channel subunit beta 1	Approved	CNCG2, CNCG3L	RCNC2, RCNCb, GARP, GAR1, CNGB1B, RP45	16q21	AF042498
HGNC:2153	CNGB3	cyclic nucleotide gated channel subunit beta 3	Approved	ACHM3, ACHM1, RMCH		8q21.3	AF228520
HGNC:19431	CNIH1	cornichon family AMPA receptor auxiliary protein 1	Approved	CNIH	TGAM77, CNIL	14q22.2	AF031379
HGNC:28744	CNIH2	cornichon family AMPA receptor auxiliary protein 2	Approved		MGC50896, Cnil, CNIH-2	11q13.2	BC047953
HGNC:26802	CNIH3	cornichon family AMPA receptor auxiliary protein 3	Approved		FLJ38993, CNIH-3	1q42.12	AF070524
HGNC:25013	CNIH4	cornichon family AMPA receptor auxiliary protein 4	Approved		HSPC163	1q42.11	
HGNC:19700	CNKSR1	connector enhancer of kinase suppressor of Ras 1	Approved		CNK1, KSR, CNK	1p36.11	AF100153
HGNC:19701	CNKSR2	connector enhancer of kinase suppressor of Ras 2	Approved		KIAA0902, CNK2, KSR2	Xp22.12	AB020709
HGNC:23034	CNKSR3	CNKSR family member 3	Approved	MAGI1	FLJ31349	6q25.2	AK055911
HGNC:17005	CNMD	chondromodulin	Approved	MYETS1, LECT1	CHM-I, CHM1, BRICD3	13q14.3	AB006000
HGNC:2155	CNN1	calponin 1	Approved		SMCC, Sm-Calp	19p13.2	U37019
HGNC:2156	CNN2	calponin 2	Approved			19p13.3	D83735
HGNC:2157	CNN3	calponin 3	Approved			1p21.3	BC025372
HGNC:102	CNNM1	cyclin and CBS domain divalent metal cation transport mediator 1	Approved	ACDP1		10q24.2	AF169226
HGNC:103	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2	Approved	ACDP2		10q24.32	AF216962
HGNC:104	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3	Approved	ACDP3		2q11.2	AF216965
HGNC:105	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	Approved	ACDP4	KIAA1592	2q11.2	AB046812
HGNC:7877	CNOT1	CCR4-NOT transcription complex subunit 1	Approved	NOT1	CDC39, NOT1H, KIAA1007, AD-005	16q21	AL833549
HGNC:7878	CNOT2	CCR4-NOT transcription complex subunit 2	Approved	NOT2	CDC36, NOT2H	12q15	AF180473
HGNC:7879	CNOT3	CCR4-NOT transcription complex subunit 3	Approved	NOT3	NOT3H, KIAA0691, LENG2	19q13.42	AF180474
HGNC:7880	CNOT4	CCR4-NOT transcription complex subunit 4	Approved	NOT4	CLONE243, NOT4H	7q33	AF180475
HGNC:14099	CNOT6	CCR4-NOT transcription complex subunit 6	Approved		CCR4, KIAA1194, Ccr4a	5q35.3	AB033020
HGNC:18042	CNOT6L	CCR4-NOT transcription complex subunit 6 like	Approved		DKFZp434K098, Ccr4b	4q21.1	AL133112
HGNC:14101	CNOT7	CCR4-NOT transcription complex subunit 7	Approved	CAF1		8p22	L46722
HGNC:9207	CNOT8	CCR4-NOT transcription complex subunit 8	Approved	POP2	CAF1, hCAF1, CALIF	5q33.2	AF053318
HGNC:10445	CNOT9	CCR4-NOT transcription complex subunit 9	Approved	RQCD1	RCD1, RCD1+, CT129, CAF40	2q35	D87957
HGNC:23817	CNOT10	CCR4-NOT transcription complex subunit 10	Approved		FLJ12890, FLJ13165	3p22.3	BC002928
HGNC:25217	CNOT11	CCR4-NOT transcription complex subunit 11	Approved	C2orf29	C40	2q11.2	AF103798
HGNC:2158	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	Approved			17q21.2	
HGNC:25220	CNPPD1	cyclin Pas1/PHO80 domain containing 1	Approved	C2orf24	CGI-57	2q35	AF070638
HGNC:27786	CNPY1	canopy FGF signaling regulator 1	Approved			7q36.3	
HGNC:13529	CNPY2	canopy FGF signaling regulator 2	Approved	TMEM4	HP10390, ZSIG9	12q13.3	AB015631
HGNC:11968	CNPY3	canopy FGF signaling regulator 3	Approved	TNRC5	CAG4A	6p21.1	U80744
HGNC:28631	CNPY4	canopy FGF signaling regulator 4	Approved		MGC40499, PRAT4B	7q22.1	AK075537
HGNC:2159	CNR1	cannabinoid receptor 1	Approved	CNR	CB1K5, CB-R, CB1, CANN6, CB1A	6q15	AF107262
HGNC:2160	CNR2	cannabinoid receptor 2	Approved		CB2	1p36.11	X74328
HGNC:24546	CNRIP1	cannabinoid receptor interacting protein 1	Approved	C2orf32	DKFZP566K1924, CRIP1, CRIP1a, CRIP1b	2p14	AL110235
HGNC:26486	CNST	consortin, connexin sorting protein	Approved	C1orf71	FLJ32001, PPP1R64	1q44	AK056563
HGNC:26847	CNTD1	cyclin N-terminal domain containing 1	Approved	CNTD	FLJ40137	17q21.2-q21.31	AK097456
HGNC:2169	CNTF	ciliary neurotrophic factor	Approved		HCNTF	11q12.1	BC068030
HGNC:2170	CNTFR	ciliary neurotrophic factor receptor	Approved			9p13.3	M73238
HGNC:23432	CNTLN	centlein	Approved	C9orf101, C9orf39	FLJ20276, bA340N12.1, OTTHUMG00000019597	9p22.2	AK000283
HGNC:2171	CNTN1	contactin 1	Approved		F3, GP135	12q12	Z21488
HGNC:2172	CNTN2	contactin 2	Approved	TAX, AXT	TAG-1, TAX1	1q32.1	X67734
HGNC:2173	CNTN3	contactin 3	Approved	PANG	BIG-1	3p12.3	AB040929
HGNC:2174	CNTN4	contactin 4	Approved		BIG-2	3p26.3-p26.2	AW665944
HGNC:2175	CNTN5	contactin 5	Approved		NB-2, hNB-2	11q22.1	AB013802
HGNC:2176	CNTN6	contactin 6	Approved		NB-3	3p26.3	AB003592
HGNC:8011	CNTNAP1	contactin associated protein 1	Approved	NRXN4	p190, Caspr, CNTNAP	17q21.2	U87223
HGNC:13830	CNTNAP2	contactin associated protein 2	Approved		Caspr2, KIAA0868, NRXN4	7q35-q36.1	AF193613
HGNC:13834	CNTNAP3	contactin associated protein family member 3	Approved		CASPR3, KIAA1714, FLJ14195, CNTNAP3A	9p12	AF333769
HGNC:32035	CNTNAP3B	contactin associated protein family member 3B	Approved			9p11.2	BX538190
HGNC:53878	CNTNAP3C	contactin associated protein family member 3C	Approved			9q12	
HGNC:18747	CNTNAP4	contactin associated protein family member 4	Approved		CASPR4, KIAA1763	16q23.1	AB051550
HGNC:18748	CNTNAP5	contactin associated protein family member 5	Approved		caspr5, FLJ31966	2q14.3	AB077881
HGNC:1858	CNTRL	centriolin	Approved	CEP1, CEP110		9q33.2	AF513978
HGNC:29616	CNTROB	centrobin, centriole duplication and spindle assembly protein	Approved		LIP8, PP1221	17p13.1	AF331638
HGNC:21868	COA1	cytochrome c oxidase assembly factor 1	Approved	C7orf44	FLJ10803, MITRAC15	7p13	AK001665
HGNC:24990	COA3	cytochrome c oxidase assembly factor 3	Approved	CCDC56	HSPC009, MITRAC12, COX25, hCOA3	17q21.2	AF070665
HGNC:24604	COA4	cytochrome c oxidase assembly factor 4 homolog	Approved	CHCHD8	E2IG2, CMC3	11q13.4	AF242180
HGNC:33848	COA5	cytochrome c oxidase assembly factor 5	Approved	C2orf64	MGC52110, FLJ27524, Pet191	2q11.2	
HGNC:18025	COA6	cytochrome c oxidase assembly factor 6	Approved	C1orf31		1q42.2	
HGNC:25716	COA7	cytochrome c oxidase assembly factor 7	Approved	C1orf163, SELRC1	FLJ12439, RESA1	1p32.3	AK022501
HGNC:20492	COA8	cytochrome c oxidase assembly factor 8	Approved	C14orf153, APOPT1	MGC2562, APOP-1	14q32.33	BC007412
HGNC:29932	COASY	Coenzyme A synthase	Approved		DPCK, NBP, PPAT	17q21.2	AF453478
HGNC:22199	COBL	cordon-bleu WH2 repeat protein	Approved		KIAA0633	7p12.1	AB014533
HGNC:23571	COBLL1	cordon-bleu WH2 repeat protein like 1	Approved		KIAA0977	2q24.3	AB023194
HGNC:2180	COCH	cochlin	Approved	DFNA31, DFNA9	COCH-5B2	14q12	
HGNC:6545	COG1	component of oligomeric golgi complex 1	Approved	LDLB	KIAA1381	17q25.1	
HGNC:6546	COG2	component of oligomeric golgi complex 2	Approved	LDLC		1q42.2	Z34975
HGNC:18619	COG3	component of oligomeric golgi complex 3	Approved		SEC34	13q14.13	AF131829
HGNC:18620	COG4	component of oligomeric golgi complex 4	Approved		COD1, DKFZP586E1519	16q22.1	AL050101
HGNC:14857	COG5	component of oligomeric golgi complex 5	Approved	GOLTC1	GTC90	7q22.3	AF058718
HGNC:18621	COG6	component of oligomeric golgi complex 6	Approved		COD2, KIAA1134	13q14.11	AK026638
HGNC:18622	COG7	component of oligomeric golgi complex 7	Approved			16p12.2	AF070568
HGNC:18623	COG8	component of oligomeric golgi complex 8	Approved		FLJ22315, DOR1	16q22.1	AK025968
HGNC:2184	COIL	coilin	Approved		CLN80, p80-coilin	17q22	U06632
HGNC:2197	COL1A1	collagen type I alpha 1 chain	Approved		OI4	17q21.33	Z74615
HGNC:2198	COL1A2	collagen type I alpha 2 chain	Approved	OI4		7q21.3	Z74616
HGNC:2200	COL2A1	collagen type II alpha 1 chain	Approved	SEDC, AOM	STL1	12q13.11	X16468
HGNC:2201	COL3A1	collagen type III alpha 1 chain	Approved	EDS4A		2q32.2	X15332
HGNC:2202	COL4A1	collagen type IV alpha 1 chain	Approved			13q34	J04217
HGNC:2203	COL4A2	collagen type IV alpha 2 chain	Approved		FLJ22259, DKFZp686I14213	13q34	AK025912
HGNC:2204	COL4A3	collagen type IV alpha 3 chain	Approved			2q36.3	
HGNC:2206	COL4A4	collagen type IV alpha 4 chain	Approved		CA44	2q36.3	
HGNC:2207	COL4A5	collagen type IV alpha 5 chain	Approved	ASLN, ATS		Xq22.3	M90464
HGNC:2208	COL4A6	collagen type IV alpha 6 chain	Approved			Xq22.3	U04845
HGNC:2209	COL5A1	collagen type V alpha 1 chain	Approved			9q34.3	D90279
HGNC:2210	COL5A2	collagen type V alpha 2 chain	Approved			2q32.2	Y14690
HGNC:14864	COL5A3	collagen type V alpha 3 chain	Approved			19p13.2	AF177941
HGNC:2211	COL6A1	collagen type VI alpha 1 chain	Approved			21q22.3	M20776
HGNC:2212	COL6A2	collagen type VI alpha 2 chain	Approved			21q22.3	M20777
HGNC:2213	COL6A3	collagen type VI alpha 3 chain	Approved			2q37.3	X52022
HGNC:26674	COL6A5	collagen type VI alpha 5 chain	Approved	COL29A1	FLJ35880, VWA4	3q22.1	AK093199
HGNC:27023	COL6A6	collagen type VI alpha 6 chain	Approved			3q22.1	AL713792
HGNC:2214	COL7A1	collagen type VII alpha 1 chain	Approved	EBDCT, EBD1, EBR1		3p21.31	L02870
HGNC:2215	COL8A1	collagen type VIII alpha 1 chain	Approved	C3orf7	MGC9568	3q12.1	AF170702
HGNC:2216	COL8A2	collagen type VIII alpha 2 chain	Approved	FECD	PPCD, FECD1, PPCD2	1p34.3	M60832
HGNC:2217	COL9A1	collagen type IX alpha 1 chain	Approved			6q13	
HGNC:2218	COL9A2	collagen type IX alpha 2 chain	Approved	EDM2	MED	1p34.2	M95610
HGNC:2219	COL9A3	collagen type IX alpha 3 chain	Approved		IDD, MED, EDM3, FLJ90759, DJ885L7.4.1	20q13.33	AK075240
HGNC:2185	COL10A1	collagen type X alpha 1 chain	Approved			6q22.1	
HGNC:2186	COL11A1	collagen type XI alpha 1 chain	Approved	COLL6, DFNA37	STL2, CO11A1	1p21.1	J04177
HGNC:2187	COL11A2	collagen type XI alpha 2 chain	Approved	DFNA13, DFNB53	HKE5	6p21.32	U32169
HGNC:2188	COL12A1	collagen type XII alpha 1 chain	Approved	COL12A1L		6q13-q14.1	U73779
HGNC:2190	COL13A1	collagen type XIII alpha 1 chain	Approved			10q22.1	AJ293624
HGNC:2191	COL14A1	collagen type XIV alpha 1 chain	Approved	UND		8q24.12	
HGNC:2192	COL15A1	collagen type XV alpha 1 chain	Approved			9q22.33	L25286
HGNC:2193	COL16A1	collagen type XVI alpha 1 chain	Approved			1p35.2	M92642
HGNC:2194	COL17A1	collagen type XVII alpha 1 chain	Approved	BPAG2	BP180	10q25.1	M91669
HGNC:2195	COL18A1	collagen type XVIII alpha 1 chain	Approved	KNO	KS, KNO1	21q22.3	
HGNC:2196	COL19A1	collagen type XIX alpha 1 chain	Approved			6q13	
HGNC:14670	COL20A1	collagen type XX alpha 1 chain	Approved		KIAA1510	20q13.33	BC043183
HGNC:17025	COL21A1	collagen type XXI alpha 1 chain	Approved			6p12.1	AF330693
HGNC:22989	COL22A1	collagen type XXII alpha 1 chain	Approved			8q24.23-q24.3	AF406780
HGNC:22990	COL23A1	collagen type XXIII alpha 1 chain	Approved		DKFZp434K0621	5q35.3	AL137461
HGNC:20821	COL24A1	collagen type XXIV alpha 1 chain	Approved			1p22.3	AF410793
HGNC:18603	COL25A1	collagen type XXV alpha 1 chain	Approved			4q25	AF293340
HGNC:18038	COL26A1	collagen type XXVI alpha 1 chain	Approved	EMID2	Emu2, EMI6	7q22.1	AJ416091
HGNC:22986	COL27A1	collagen type XXVII alpha 1 chain	Approved		KIAA1870, MGC11337, FLJ11895	9q32	AB058773
HGNC:22442	COL28A1	collagen type XXVIII alpha 1 chain	Approved			7p21.3	AJ890451
HGNC:2220	COLEC10	collectin subfamily member 10	Approved		CL-L1, CL-10	8q24.12	AB002631
HGNC:17213	COLEC11	collectin subfamily member 11	Approved		MGC3279, CL-K1, CL-11	2p25.3	BC000078
HGNC:16016	COLEC12	collectin subfamily member 12	Approved		SRCL, CL-P1, SCARA4	18p11.32	AB038518
HGNC:26182	COLGALT1	collagen beta(1-O)galactosyltransferase 1	Approved	GLT25D1	FLJ22329	19p13.11	AK075541
HGNC:16790	COLGALT2	collagen beta(1-O)galactosyltransferase 2	Approved	C1orf17, GLT25D2	KIAA0584	1q25.3	AF288389
HGNC:2226	COLQ	collagen like tail subunit of asymmetric acetylcholinesterase	Approved		EAD	3p25.1	AF057036
HGNC:23024	COMMD1	copper metabolism domain containing 1	Approved	C2orf5	MURR1, MGC27155	2p15	BC022046
